year,country,artist_name,song_name,language,style,gender,main_singers,key,BPM,energy,danceability,happiness,loudness,acousticness,instrumentalness,liveness,speechiness,final_place
2022,Austria,Lumix feat. Pia Maria,Halo,English,Dance,Female,1,Ab Major,150,91,57,69,5 dB,0,0,53,4,
2022,Iceland,Systur,Meo aekkandi sol,Icelandic,Traditional,Female,3,D Minor,100,52,58,35,12 dB,58,4,7,3,23
2022,Greece,Amanda Georgiadi Tenfjord,Die Together,English,Ballad,Female,1,F Major,150,37,48,20,8 dB,12,0,13,7,8
2022,Norway,Subwoolfer,Give That Wolf a Banana,English,Pop,Male,2,G Minor,124,53,74,55,10 dB,20,0,9,4,10
2022,Armenia,Rosa Linn,Snap,English,Ballad,Female,1,C Major,170,64,56,53,8 dB,11,0,45,6,20
2022,Finland,The Rasmus,Jezebel,English,Rock,Male,1,B Minor,116,87,50,49,4 dB,0,0,8,4,21
2022,Israel,Michael Ben David,I.M,English,Pop,Male,1,Ab Minor,120,82,70,45,7 dB,1,0,13,6,
2022,Serbia,Konstrakta,In corpore sano,"Serbian, Latin",Traditional,Female,1,C Major,136,71,92,63,7 dB,1,0,17,8,5
2022,Azerbaijan,Nadir Rustamli,Fade to Black,English,Ballad,Male,1,A Minor,79,30,34,30,10 dB,19,0,14,6,16
2022,Georgia,Circus Mircus,Lock Me In,English,Rock,Male,1,D Major,107,76,79,84,9 dB,0,0,30,4,
2022,Malta,Emma Muscat,I Am What I Am,English,Pop,Female,1,G Major,98,71,56,38,5 dB,4,0,9,3,
2022,San Marino,Achille Lauro,Stripper,"Italian, English",Rock,Male,1,A Major,140,80,60,55,6 dB,0,0,8,10,
2022,Australia,Sheldon Riley,Not the Same,English,Ballad,Male,1,Bb Minor,128,43,36,38,10 dB,66,0,14,4,15
2022,Cyprus,Andromache,Ela,"English, Greek",Pop,Female,1,Eb Minor,98,63,66,65,7 dB,24,0,6,9,
2022,Ireland,Brooke,That's Rich,English,Pop,Female,1,A Major,122,60,68,56,4 dB,0,0,34,3,
2022,North Macedonia,Andrea,Circles,English,Ballad,Female,1,Cs Minor,144,71,54,22,5 dB,48,0,17,3,
2022,Estonia,Stefan,Hope,English,Pop,Male,1,Bb Minor,123,78,52,55,5 dB,19,0,10,4,13
2022,Romania,WRS,Llamame,"English, Spanish",Pop,Male,1,F Minor,120,76,76,66,6 dB,6,0,15,13,18
2022,Poland,Ochman,River,English,Ballad,Male,1,Ab Major,140,67,51,33,5 dB,56,0,12,4,12
2022,Montenegro,Vladana,Breathe,"English, Italian",Ballad,Female,1,G Minor,77,46,43,20,7 dB,55,0,10,3,
2022,Belgium,Jeremie Makiese,Miss You,English,Pop,Male,1,Fs Minor,144,53,63,28,6 dB,24,0,13,5,19
2022,Sweden,Cornelia Jakobs,Hold Me Closer,English,Ballad,Female,1,Fs Major,97,62,49,17,8 dB,11,0,14,4,4
2022,Czech Republic,We Are Domi,Lights Off,English,Dance,Female,1,A Minor,126,79,59,52,6 dB,15,0,21,11,22
2022,Italy,Mahmood and Blanco,Brividi,Italian,Ballad,Male,2,G Major,123,61,52,34,4 dB,45,0,25,3,6
2022,Spain,Chanel,SloMo,"Spanish, English",Pop,Female,1,Cs Minor,105,81,73,59,3 dB,13,0,9,6,3
2022,Germany,Malik Harris,Rockstars,English,Ballad,Male,1,G Major,81,64,65,52,6 dB,45,0,38,23,25
2022,United Kingdom,Sam Ryder,Space Man,English,Pop,Male,1,B Major,80,83,47,33,2 dB,18,0,10,5,2
2022,France,Alvan and Ahez,Fulenn,Breton,Traditional,Mix,4,Fs Major,120,84,74,48,7 dB,1,0,24,12,24
2021,Lithuania,The Roop,Discoteque,English,Dance,Male,1,F Major,115,80,83,63,6 dB,5,0,13,6,8
2021,Slovenia,Ana Soklic,Amen,English,Ballad,Female,1,Ab Minor,81,40,45,21,10 dB,48,0,15,5,
2021,Russia,Manizha,Russian Woman,"Russian, English",Traditional,Female,1,E Minor,102,70,89,65,7 dB,20,0,7,19,9
2021,Sweden,Tusse,Voices,English,Pop,Male,1,Bb Minor,90,76,50,40,5 dB,0,0,13,4,14
